dept_co,dept_nombre,muni_co,muni_nombre,total_votantes,votos_validos,pct_participacion,mesas_total,mesas_escrutadas,votos_AE,votos_IC,votos_Valencia,votos_Fajardo,votos_Lopez,votos_Botero,votos_coalicion_AE,diff_AE_IC,diff_coalicion_IC,pct_AE,pct_IC,pct_Valencia,pct_Fajardo,pct_coalicion,gana_AE,gana_coalicion,ganador,ganador_coalicion
23,NARIÑO,23067,IPIALES,57283,56243,54.06,300,300,14914,35198,2499,1572,384,309,18985,-20284,-16213,26.52,62.58,4.44,2.8,33.76,0,0,CEPEDA,CEPEDA
23,NARIÑO,23073,LA CRUZ,8673,8535,61.69,46,46,2226,5416,468,98,52,43,2792,-3190,-2624,26.08,63.46,5.48,1.15,32.71,0,0,CEPEDA,CEPEDA
23,NARIÑO,23076,LA FLORIDA,6027,5967,62.77,31,31,1386,4156,204,68,23,21,1658,-2770,-2498,23.23,69.65,3.42,1.14,27.79,0,0,CEPEDA,CEPEDA
23,NARIÑO,23077,LA LLANADA,2567,2504,62.54,13,13,984,1259,79,55,10,20,1118,-275,-141,39.3,50.28,3.15,2.2,44.65,0,0,CEPEDA,CEPEDA
23,NARIÑO,23078,LA TOLA,2451,2435,41.61,19,19,211,2132,43,6,1,15,260,-1921,-1872,8.67,87.56,1.77,0.25,10.68,0,0,CEPEDA,CEPEDA
23,NARIÑO,23079,LA UNION,13900,13522,57.58,81,81,4651,6754,1229,221,78,96,6101,-2103,-653,34.4,49.95,9.09,1.63,45.12,0,0,CEPEDA,CEPEDA
23,NARIÑO,23080,LEIVA,6135,5910,68.67,30,30,966,4283,124,72,24,112,1162,-3317,-3121,16.35,72.47,2.1,1.22,19.66,0,0,CEPEDA,CEPEDA
23,NARIÑO,23082,LINARES,4910,4827,58.31,30,30,914,3594,131,55,11,12,1100,-2680,-2494,18.94,74.46,2.71,1.14,22.79,0,0,CEPEDA,CEPEDA
23,NARIÑO,23085,LOS ANDES (SOTOMAYOR),5521,5281,68.45,26,26,1072,3502,255,117,38,55,1444,-2430,-2058,20.3,66.31,4.83,2.22,27.34,0,0,CEPEDA,CEPEDA
23,NARIÑO,23088,MAGUI (PAYAN),3344,3321,44.92,31,31,92,3127,16,18,8,19,126,-3035,-3001,2.77,94.16,0.48,0.54,3.79,0,0,CEPEDA,CEPEDA
23,NARIÑO,23091,MALLAMA (PIEDRANCHA),3541,3475,54.22,22,22,486,2775,50,29,10,28,565,-2289,-2210,13.99,79.86,1.44,0.83,16.26,0,0,CEPEDA,CEPEDA
23,NARIÑO,23094,MOSQUERA,2995,2981,41.4,27,27,80,2831,28,8,6,11,116,-2751,-2715,2.68,94.97,0.94,0.27,3.89,0,0,CEPEDA,CEPEDA
23,NARIÑO,23095,OLAYA HERRERA,6881,6785,41.88,53,53,451,6006,91,33,23,41,575,-5555,-5431,6.65,88.52,1.34,0.49,8.47,0,0,CEPEDA,CEPEDA
23,NARIÑO,23096,NARIÑO,3442,3381,65.87,16,16,1034,2080,107,64,21,4,1205,-1046,-875,30.58,61.52,3.16,1.89,35.64,0,0,CEPEDA,CEPEDA
23,NARIÑO,23097,OSPINA,3250,3206,53.78,19,19,945,1862,230,37,11,10,1212,-917,-650,29.48,58.08,7.17,1.15,37.8,0,0,CEPEDA,CEPEDA
23,NARIÑO,23098,POLICARPA,8934,8527,69.72,42,42,929,6712,180,56,46,117,1165,-5783,-5547,10.89,78.71,2.11,0.66,13.66,0,0,CEPEDA,CEPEDA
23,NARIÑO,23100,POTOSI,5225,5180,51.56,36,36,1630,3080,241,62,23,46,1933,-1450,-1147,31.47,59.46,4.65,1.2,37.32,0,0,CEPEDA,CEPEDA
23,NARIÑO,23101,PROVIDENCIA,2997,2967,58.3,15,15,243,2578,57,21,14,9,321,-2335,-2257,8.19,86.89,1.92,0.71,10.82,0,0,CEPEDA,CEPEDA
23,NARIÑO,23103,PUERRES,4873,4824,62.67,24,24,1293,3227,157,62,15,9,1512,-1934,-1715,26.8,66.89,3.25,1.29,31.34,0,0,CEPEDA,CEPEDA
23,NARIÑO,23106,PUPIALES,9718,9493,62.13,46,46,3181,5072,690,191,79,50,4062,-1891,-1010,33.51,53.43,7.27,2.01,42.79,0,0,CEPEDA,CEPEDA
23,NARIÑO,23109,RICAURTE,6949,6821,37.06,62,62,1241,5048,246,51,21,75,1538,-3807,-3510,18.19,74.01,3.61,0.75,22.55,0,0,CEPEDA,CEPEDA
23,NARIÑO,23112,ROBERTO PAYAN (SAN JOSE),4592,4562,45.29,38,38,113,4325,36,11,9,11,160,-4212,-4165,2.48,94.8,0.79,0.24,3.51,0,0,CEPEDA,CEPEDA
23,NARIÑO,23115,SAMANIEGO,13253,13058,58.16,81,81,1870,10468,249,129,28,56,2248,-8598,-8220,14.32,80.17,1.91,0.99,17.22,0,0,CEPEDA,CEPEDA
