id_puesto,municipio,cod_dane,puesto,cod_comune,direccion,lon,lat,semaforo,rank_abelardo,votos_abelardo,total_validos,pct_abelardo,n_mesas,v_paloma_valencia,v_sergio_fajardo,v_miguel_uribe_londoño,v_gustavo_matamoros,v_roy_barrera,v_ivan_cepeda,v_santiago_botero,v_sondra_maconllis,v_abelardo_de_la_espriella,v_claudia_lopez,v_luis_gilberto_murillo,v_carlos_caicedo,v_oscar_mauricio_lizcano
p0686,MEDELLIN,05001,I.E. JOSE MARIA ESPINOSA PRIETO - CASD,06,CLL 99 No 72-192,-75.5752072857517,6.29681933178432,verde,1,845,1910,44.24,9,93,248,0,0,0,692,0,0,845,0,0,0,0
p0687,MEDELLIN,05001,I.E. JUAN DE DIOS CARVAJAL,08,CL 65AA # 36-39,-75.5508542767538,6.25568271878971,verde,1,3532,5875,60.12,26,467,496,0,0,0,1312,0,0,3532,0,0,0,0
p0688,MEDELLIN,05001,I.E. JUAN DE LA CRUZ POSADA,08,CL 62 # 39-22,-75.5546442200843,6.25377381594736,verde,1,1928,3254,59.25,14,305,285,0,0,0,685,0,0,1928,0,0,0,0
p0689,MEDELLIN,05001,I.E.JUAN MARIA CESPEDES,16,CALLE 32B No. 76A - 48,-75.5968132374163,6.23538752096467,verde,1,7575,10798,70.15,42,1163,661,0,0,0,1322,0,0,7575,0,0,0,0
p0690,MEDELLIN,05001,I.E JUAN XXIII,13,CALLE 49 No 96A-11,-75.6104830760072,6.26166754596935,verde,1,1707,3666,46.56,18,209,389,0,0,0,1302,0,0,1707,0,0,0,0
p0691,MEDELLIN,05001,I.E. JULIO CESAR GARCIA,05,CL 111A # 65-26,-75.5641480180418,6.30670060077616,verde,1,4736,7572,62.55,30,624,647,0,0,0,1498,0,0,4736,0,0,0,0
p0692,MEDELLIN,05001,I.E. KENNEDY,06,CRA 76A No 92-200,-75.581574821758,6.29081850320449,verde,1,4096,6925,59.15,31,728,470,0,0,0,1502,0,0,4096,0,0,0,0
p0693,MEDELLIN,05001,I.E.LA ESPERANZA,06,CRA 73B No 96-09,-75.5772824523418,6.29293580740473,verde,1,1222,2546,48.0,11,158,257,0,0,0,845,0,0,1222,0,0,0,0
p0694,MEDELLIN,05001,I.E.LA INDEPENDENCIA,13,CALLE 39D No. 112 - 81,-75.6247248063216,6.25304005738178,verde,1,3943,7461,52.85,38,764,587,0,0,0,1983,0,0,3943,0,0,0,0
p0695,MEDELLIN,05001,I.E. LA MILAGROSA,09,KR 29 # 41-14,-75.5547939681333,6.23523297056735,verde,1,6690,11216,59.65,47,915,961,0,0,0,2514,0,0,6690,0,0,0,0
p0696,MEDELLIN,05001,I.E. LA PIEDAD,12,KR 81 NO 54 71,-75.5966513152959,6.26922882872936,verde,1,3225,5567,57.93,24,512,453,0,0,0,1285,0,0,3225,0,0,0,0
p0697,MEDELLIN,05001,I.E. LA SALLE DE CAMPOAMOR,15,CARRERA 65B No. 4 - 49,-75.5875289851241,6.21240316798126,verde,1,3570,5777,61.8,21,421,654,0,0,0,1066,0,0,3570,0,0,0,0
p0698,MEDELLIN,05001,I.E. LUCRECIO JARAMILLO VELEZ,11,KR 79 # 38-59,-75.5995303187069,6.24625779767075,verde,1,7601,10266,74.04,39,1200,540,0,0,0,848,0,0,7601,0,0,0,0
p0699,MEDELLIN,05001,I.E. LUIS CARLOS GALAN SARMIENTO,08,CRA 24B No 57EE-45,-75.5467260424952,6.25028624480438,amarillo,2,1187,3217,36.9,17,152,260,0,0,0,1542,0,0,1187,0,0,0,0
p0700,MEDELLIN,05001,I.E.MAESTRO FERNANDO BOTERO,06,CL 104 # 72A-80,-75.5720213589944,6.30148996475826,verde,1,3721,6432,57.85,28,551,565,0,0,0,1454,0,0,3721,0,0,0,0
p0701,MEDELLIN,05001,I.E. MANUEL J. BETANCUR,80,CRA 81 No 43 SUR - 38,-75.6574450672137,6.18357371538755,verde,1,4504,8704,51.75,40,533,780,0,0,0,2705,0,0,4504,0,0,0,0
p0702,MEDELLIN,05001,I.E. MANUEL JOSÉ CAYZEDO,09,CL 50 29 82,-75.5521812099727,6.24148474040795,verde,1,2817,5488,51.33,28,366,477,0,0,0,1745,0,0,2817,0,0,0,0
p0703,MEDELLIN,05001,I.E. MANUELA BELTRAN,03,KR 37 # 71-47,-75.548744891352,6.26624613151744,verde,1,2873,5039,57.02,25,627,347,0,0,0,1029,0,0,2873,0,0,0,0
p0704,MEDELLIN,05001,I.E. MARCO FIDEL SUAREZ,11,CR 70 49 70,-75.5860482337413,6.25769134682662,verde,1,3899,6354,61.36,27,622,535,0,0,0,1237,0,0,3899,0,0,0,0
p0705,MEDELLIN,05001,I.E. MARIA MONTESSORI,05,KR 69A # 92C-87,-75.5750186974111,6.28689479287319,verde,1,4979,9128,54.55,38,777,825,0,0,0,2385,0,0,4979,0,0,0,0
p0706,MEDELLIN,05001,I.E.MARISCAL ROBLEDO,07,CALLE 65 # 84-87,-75.5958987641504,6.27532207286232,verde,1,1924,3766,51.09,20,239,375,0,0,0,1172,0,0,1924,0,0,0,0
p0707,MEDELLIN,05001,I.E. MATER DEI,11,KR 68 # 42-70,-75.5860753752496,6.24747503637671,verde,1,4675,6706,69.71,26,748,466,0,0,0,777,0,0,4675,0,0,0,0
p0708,MEDELLIN,05001,"I.E. MONSEÑOR FRANCISCO CRISTOBAL
TORO",04,Cra 50D # 90-49,-75.5603767127427,6.2823284600121,verde,1,3688,6529,56.49,30,550,556,0,0,0,1614,0,0,3688,0,0,0,0
p0709,MEDELLIN,05001,"I.E. MONTECARLO GUILLERMO GAVIRIA
CORREA",03,CARRERA 36 # 85 B 140,-75.5461153905296,6.27833640743124,verde,1,4079,8617,47.34,44,801,724,0,0,0,2790,0,0,4079,0,0,0,0
p0710,MEDELLIN,05001,I.E. NUEVO HORIZONTE - PAULO VI,01,KR 42B # 110 A 28,-75.5462122714294,6.2987706100036,verde,1,2011,3754,53.57,29,340,238,0,0,0,1034,0,0,2011,0,0,0,0
p0711,MEDELLIN,05001,I.E. OCTAVIO HARRY - JACQUELINE KENNEDY,16,CL 17 # 73-37,-75.5958344784501,6.22234766421873,verde,1,3690,5446,67.76,20,443,456,0,0,0,821,0,0,3690,0,0,0,0
p0712,MEDELLIN,05001,"I.E. PBRO ANTONIO JOSE BERNAL LONDOÑO
SJ",05,CL 105A # 63A-200,-75.5593288501883,6.30165634274362,verde,1,3564,6888,51.74,39,399,739,0,0,0,2059,0,0,3564,0,0,0,0
p0713,MEDELLIN,05001,I.E. PRESBITERO JUAN J. ESCOBAR,60,CLL 62 No 128-120,-75.6345658907119,6.27830527287513,verde,1,1866,3738,49.92,16,235,316,0,0,0,1241,0,0,1866,0,0,0,0
p0714,MEDELLIN,05001,I.E. PROGRESAR,06,KR 83A # 106 D 5,-75.5806119376322,6.30867001761418,verde,1,2185,3976,54.95,21,370,275,0,0,0,1034,0,0,2185,0,0,0,0
p0715,MEDELLIN,05001,I.E.RAMON GIRALDO CEBALLOS,16,CL 21 NO 82A 56,-75.6045128697098,6.22648377856429,verde,1,4721,7208,65.5,30,657,503,0,0,0,1229,0,0,4721,0,0,0,0
p0716,MEDELLIN,05001,I.E.RAMON MUNERA LOPERA,03,Cra 30A # 77 - 04,-75.5435104396701,6.2697246631395,amarillo,2,1360,3813,35.67,19,254,280,0,0,0,1813,0,0,1360,0,0,0,0
p0717,MEDELLIN,05001,I.E. REPUBLICA DE HONDURAS,02,KR 50B # 97A-30,-75.5595224554281,6.2907863103933,verde,1,2823,5843,48.31,27,384,474,0,0,0,2027,0,0,2823,0,0,0,0
p0718,MEDELLIN,05001,I.E. REPUBLICA DE URUGUAY,05,CL 91A No 70A-123,-75.5769027005561,6.28378846218399,verde,1,4600,7973,57.69,35,683,640,0,0,0,1910,0,0,4600,0,0,0,0
p0719,MEDELLIN,05001,I.E.REPUBLICA DE VENEZUELA,16,CL 31C 89C 92,-75.6145057278013,6.23476930321355,verde,1,2732,4345,62.88,20,357,327,0,0,0,836,0,0,2732,0,0,0,0
p0720,MEDELLIN,05001,I.E. SAN FRANCISCO DE ASIS,08,CL 56 # 16-18,-75.5395474834545,6.23857340772382,verde,1,2004,4408,45.46,24,316,319,0,0,0,1640,0,0,2004,0,0,0,0
p0721,MEDELLIN,05001,I.E.SAN JUAN BOSCO,04,CALLE 82 # 50C-10,-75.5611061968305,6.27587629643252,verde,1,1195,2426,49.26,10,167,258,0,0,0,770,0,0,1195,0,0,0,0
p0722,MEDELLIN,05001,I. E. SAN ROBERTO BELARMINO,16,CALLE 32B No. 83 - 39,-75.6061813981858,6.2356345876531,verde,1,2064,3781,54.59,15,242,502,0,0,0,937,0,0,2064,0,0,0,0
p0723,MEDELLIN,05001,I.E. SAN VICENTE DE PAUL,07,KR 71A # 79D-01,-75.5788320327111,6.27897790558016,verde,1,3949,6599,59.84,28,580,597,0,0,0,1400,0,0,3949,0,0,0,0
p0724,MEDELLIN,05001,I.E. SANTA JUANA DE LESTONNAC,06,CRA 76A No 103C-43,-75.5754075677719,6.30252233897,verde,1,2183,4951,44.09,23,261,677,0,0,0,1756,0,0,2183,0,0,0,0
p0725,MEDELLIN,05001,I.E.SANTA ROSA DE LIMA,12,CALLE 45G No. 80-95,-75.5994828222659,6.25559563678819,verde,1,2854,5304,53.81,19,409,670,0,0,0,1320,0,0,2854,0,0,0,0
p0726,MEDELLIN,05001,I.E.SEBASTIAN DE BELALCAZAR,05,CALLE 103EE # 63D-185,-75.5654747044515,6.29857330416552,verde,1,1082,2072,52.22,9,118,174,0,0,0,660,0,0,1082,0,0,0,0
p0727,MEDELLIN,05001,I.E.SOL DE ORIENTE,08,CARRERA 23 No. 56EH - 200,-75.5407350999079,6.2448895900847,amarillo,2,621,1672,37.14,10,105,121,0,0,0,788,0,0,621,0,0,0,0
p0728,MEDELLIN,05001,I.E.STELLA VELEZ LONDOÑO,13,CALLE 48DD No. 99D-118,-75.6160129157522,6.26828953067779,verde,1,581,1351,43.01,7,105,122,0,0,0,509,0,0,581,0,0,0,0
p0729,MEDELLIN,05001,I.E. TULIO OSPINA,10,CL 60 51 48,-75.5661647546528,6.25913818687928,verde,1,2967,5293,56.06,28,571,311,0,0,0,1355,0,0,2967,0,0,0,0
p0730,MEDELLIN,05001,I.E. VILLA DE LA CANDELARIA,07,CALLE 77A # 90D-35,-75.5937074592012,6.28497087100706,verde,1,3713,6624,56.05,32,546,551,0,0,0,1655,0,0,3713,0,0,0,0
p0731,MEDELLIN,05001,I.T.M. (CAMPUS FRATERNIDAD),08,CALLE 54A No. 30-01,-75.551051486743,6.24533992689748,amarillo,2,1012,2461,41.12,11,130,267,0,0,0,1017,0,0,1012,0,0,0,0
p0732,MEDELLIN,05001,I.T.M. (PRADO CENTRO),10,CRA 51 No 58-69,-75.5661269265486,6.25765603902853,verde,1,998,2322,42.98,10,173,220,0,0,0,897,0,0,998,0,0,0,0
p0733,MEDELLIN,05001,IE ALFONSO UPEGUI OROZCO,60,CALLE 64B No 117 177,-75.6104936303419,6.28749804986136,verde,1,1567,2777,56.43,10,178,238,0,0,0,757,0,0,1567,0,0,0,0
p0734,MEDELLIN,05001,IE ANGELA RESTREPO MORENO,80,CARRERA 55 No 48C SUR 90,-75.6373000185545,6.17760376812157,verde,1,899,2171,41.41,9,118,250,0,0,0,861,0,0,899,0,0,0,0
p0735,MEDELLIN,05001,IE ANTONIO DERKA,01,CRA 28 No 107-425,-75.5390890085351,6.29717237453504,amarillo,2,911,2855,31.91,21,142,212,0,0,0,1515,0,0,911,0,0,0,0
p0736,MEDELLIN,05001,IE ANTONIO RICAURTE,16,CRA 80 No 2-11,-75.6031486395551,6.21132757464716,verde,1,2196,4307,50.99,17,261,505,0,0,0,1272,0,0,2196,0,0,0,0
p0737,MEDELLIN,05001,IE ARZOBISPO TULIO BOTERO SALAZAR,09,CLL 49A No 03A - 006,-75.5324075033174,6.22995926801674,verde,1,817,1949,41.92,9,115,163,0,0,0,811,0,0,817,0,0,0,0
p0738,MEDELLIN,05001,IE AURES,07,CRA 96A No 77E-15,-75.5965264135842,6.29020770870989,verde,1,1429,3323,43.0,16,187,306,0,0,0,1330,0,0,1429,0,0,0,0
p0739,MEDELLIN,05001,IE BARRIO OLAYA HERRERA,07,CRA 101C No 58-44,-75.6098868114957,6.27415392016368,amarillo,2,419,1151,36.4,8,82,106,0,0,0,505,0,0,419,0,0,0,0
p0740,MEDELLIN,05001,IE BELLO ORIENTE,03,CRA 23B No 84B-27,-75.5380888046019,6.27697368609386,amarillo,2,378,1021,37.02,8,68,54,0,0,0,478,0,0,378,0,0,0,0
p0741,MEDELLIN,05001,IE DIEGO ECHAVARRIA MISAS,05,CALLE 111 No 70 68,-75.5691390153103,6.30827724713486,verde,1,4615,7799,59.17,32,582,716,0,0,0,1783,0,0,4615,0,0,0,0
p0742,MEDELLIN,05001,IE ESC NORMAL SUPERIOR DE MEDELLIN,08,CRA 34 No 65 - 02,-75.5487256699892,6.2540472460294,verde,1,882,1920,45.94,9,86,205,0,0,0,724,0,0,882,0,0,0,0
p0743,MEDELLIN,05001,IE FE Y ALEGRIA EL LIMONAR,80,CL 55 SUR No 60 A-13 SAN ANTONIO DE PRADO,-75.6420677322165,6.17466597521106,verde,1,2302,5308,43.37,26,378,459,0,0,0,2031,0,0,2302,0,0,0,0
p0744,MEDELLIN,05001,IE FE Y ALEGRIA LUIS AMIGO MORAVIA,04,CARRERA 58 No 84 40,-75.5664174750535,6.27912086657518,amarillo,2,603,1537,39.23,8,87,109,0,0,0,698,0,0,603,0,0,0,0
p0745,MEDELLIN,05001,IE FEDERICO OZANAM,09,CRA.36 No 45 - 08,-75.5584159114727,6.24048941697571,verde,1,4613,7679,60.07,34,641,667,0,0,0,1664,0,0,4613,0,0,0,0
p0746,MEDELLIN,05001,IE FELIX DE BEDOUT MORENO,05,CLL 108 No 70-39,-75.5694177578519,6.30611590349176,verde,1,1654,3116,53.08,12,174,392,0,0,0,862,0,0,1654,0,0,0,0
p0747,MEDELLIN,05001,IE FELIX HENAO BOTERO,08,CLL 52 No 23-51,-75.5466627764279,6.24091294655442,verde,1,2414,4942,48.85,24,398,409,0,0,0,1614,0,0,2414,0,0,0,0
p0748,MEDELLIN,05001,IE GABRIEL GARCIA MARQUEZ,08,CRA 8A No. 57A - 93,-75.5334414025586,6.23665323672125,amarillo,2,300,759,39.53,4,37,53,0,0,0,348,0,0,300,0,0,0,0
p0749,MEDELLIN,05001,IE HECTOR ROGELIO MONTOYA,50,CLL 20 No 32-60,-75.688248605825,6.34336020428622,verde,1,914,1579,57.88,8,175,93,0,0,0,339,0,0,914,0,0,0,0
p0750,MEDELLIN,05001,IE JESUS REY,07,CRA 88 No 77A-11,-75.5921685363698,6.28333392006294,verde,1,2263,4625,48.93,19,262,556,0,0,0,1498,0,0,2263,0,0,0,0
p0751,MEDELLIN,05001,IE JOSE ROBERTO VASQUEZ,03,CLL 76 No 39-160,-75.5501290389965,6.26865596034991,amarillo,2,878,2194,40.02,11,94,268,0,0,0,915,0,0,878,0,0,0,0
p0752,MEDELLIN,05001,IE LA AVANZADA,01,CRA 27 No 106BB-65,-75.5391284619583,6.29436880187274,amarillo,2,326,946,34.46,7,93,66,0,0,0,425,0,0,326,0,0,0,0
p0753,MEDELLIN,05001,IE LAS NIEVES,03,CLL 82 No 39 - 69,-75.5491439774032,6.27357067226893,verde,1,3479,7348,47.35,35,508,660,0,0,0,2495,0,0,3479,0,0,0,0
p0754,MEDELLIN,05001,IE LOLA GONZALEZ,12,CLL 47F No 94-63,-75.6115481841428,6.25726558343568,verde,1,2376,4390,54.12,16,288,571,0,0,0,1110,0,0,2376,0,0,0,0
p0755,MEDELLIN,05001,IE LOMA HERMOSA,60,CRA 123B No 53B-05,-75.6296731872888,6.27051991061553,verde,1,899,2025,44.4,9,191,179,0,0,0,699,0,0,899,0,0,0,0
p0756,MEDELLIN,05001,IE LORENZA VILLEGAS DE SANTOS,04,CRA 51 No 87 - 40,-75.560930831415,6.28036726498752,verde,1,1200,2530,47.43,10,143,268,0,0,0,892,0,0,1200,0,0,0,0
p0757,MEDELLIN,05001,IE LUSITANIA,60,CRA 109A No 63B-320,-75.6181552722993,6.27915442365875,verde,1,3009,7101,42.37,31,532,579,0,0,0,2803,0,0,3009,0,0,0,0
p0758,MEDELLIN,05001,IE MADRE LAURA,09,CLL 45 No 22A - 81,-75.5508062451402,6.23531574500706,verde,1,1297,2599,49.9,11,169,307,0,0,0,795,0,0,1297,0,0,0,0
p0759,MEDELLIN,05001,IE MARIA DE LOS ANGELES CANO MARQUEZ,01,CR 36B 102C 54,-75.5445017815333,6.2922813542767,verde,1,1862,4412,42.2,25,292,397,0,0,0,1710,0,0,1862,0,0,0,0
p0760,MEDELLIN,05001,IE MERCEDITAS GOMEZ MARTINEZ,09,CL 45 # 18-03,-75.5467129711514,6.23371217333763,verde,1,3571,6906,51.71,29,532,661,0,0,0,2030,0,0,3571,0,0,0,0
p0761,MEDELLIN,05001,IE MON GERARDO VALENCIA CANO,07,CL 65 # 74 B - 273,-75.5877162141305,6.26911660077704,verde,1,2027,3771,53.75,15,329,422,0,0,0,950,0,0,2027,0,0,0,0
p0762,MEDELLIN,05001,IE MONSEÑOR VICTOR WIEDEMANN,80,DIAG 60E No. 41A SUR - 30,-75.6420972100068,6.18398125719504,verde,1,2168,4451,48.71,17,264,517,0,0,0,1431,0,0,2168,0,0,0,0
p0763,MEDELLIN,05001,IE PEDRO OCTAVIO AMADO,16,CR 88A 18A 5,-75.6105420549098,6.22207649085063,verde,1,645,1248,51.68,6,68,98,0,0,0,409,0,0,645,0,0,0,0
p0764,MEDELLIN,05001,"IE RODRIGO LARA BONILLA - SEDE LA
SUSANA",03,KR 41B # 66E-50,-75.5523536203906,6.26221079885131,verde,1,2272,4396,51.68,23,296,412,0,0,0,1336,0,0,2272,0,0,0,0
p0765,MEDELLIN,05001,IE SAN ANTONIO DE PRADO,80,CRA 79 No. 42 SUR - 39,-75.6561799169431,6.18432268297667,verde,1,5822,10153,57.34,45,951,785,0,0,0,2341,0,0,5822,0,0,0,0
p0766,MEDELLIN,05001,IE SAN CRISTOBAL,60,CRA 131 No 65-7,-75.6365748499903,6.28063201472805,verde,1,4084,7113,57.42,37,808,486,0,0,0,1573,0,0,4084,0,0,0,0
p0767,MEDELLIN,05001,IE SAN JUAN BAUTISTA DE LA SALLE,03,CLL 93 No 40-42,-75.5493012091244,6.2844137821233,amarillo,2,1163,2865,40.59,14,180,295,0,0,0,1184,0,0,1163,0,0,0,0
p0768,MEDELLIN,05001,IE YERMO Y PARRES,16,CALLE 28 No 77 84,-75.5977483642776,6.22925390449389,verde,1,678,1245,54.46,5,101,169,0,0,0,284,0,0,678,0,0,0,0
p0769,MEDELLIN,05001,INST.EDUC. LA CANDELARIA,01,CL 106 # 32-100,-75.5423206007391,6.29349116166773,verde,1,2929,6346,46.16,44,561,480,0,0,0,2157,0,0,2929,0,0,0,0
p0770,MEDELLIN,05001,INST. FERRINI - SD CALASANZ,12,CLL 51A No 81B - 33,-75.5986717881114,6.26511529115889,verde,1,3033,5564,54.51,20,400,722,0,0,0,1356,0,0,3033,0,0,0,0
p0771,MEDELLIN,05001,INST. SALESIANO PEDRO JUSTO BERRIO,16,CRA 87A 32A 101,-75.6112290401909,6.23679368772765,verde,1,784,1498,52.34,6,106,240,0,0,0,346,0,0,784,0,0,0,0
p0772,MEDELLIN,05001,INST. UNIVERSITARIA SALAZAR Y HERRERA,11,CR 70 52 49,-75.5853604985364,6.26031234804372,verde,1,169,297,56.9,2,17,20,0,0,0,89,0,0,169,0,0,0,0
p0773,MEDELLIN,05001,INSTITUCION EDUCATIVA ROSALIA SUAREZ,16,CLL 30A # 80 -18,-75.5971931689239,6.23268787050543,verde,1,2244,3811,58.88,13,284,438,0,0,0,810,0,0,2244,0,0,0,0
p0774,MEDELLIN,05001,INSTITUTO FERRINI - SEDE ROBLEDO,07,CALLE 76 # 80-431,-75.5922695190442,6.27800378421183,verde,1,4375,9050,48.34,39,509,1091,0,0,0,2955,0,0,4375,0,0,0,0
p0775,MEDELLIN,05001,INSTITUTO JORGE ROBLEDO,11,CL 51 # 65 - 72,-75.5817694954761,6.25835987273479,verde,1,3624,6511,55.66,25,746,617,0,0,0,1457,0,0,3624,0,0,0,0
p0776,MEDELLIN,05001,INSTITUTO SAN CARLOS,16,DIAG. 79 # 15-123,-75.6001668584475,6.22330094979852,verde,1,5675,8208,69.14,30,837,757,0,0,0,883,0,0,5675,0,0,0,0
p0777,MEDELLIN,05001,ITM CASTILLA,05,CR 65 No 98 A - 75,-75.5693422455966,6.29391365140096,verde,1,5463,10658,51.26,49,707,1056,0,0,0,3226,0,0,5463,0,0,0,0
p0778,MEDELLIN,05001,LICEO SALAZAR Y HERRERA,12,CLL 42C No 86-17,-75.6058783517261,6.24871119552243,verde,1,6976,11145,62.59,40,899,1215,0,0,0,1966,0,0,6976,0,0,0,0
p0779,MEDELLIN,05001,LICEO SAN RAFAEL,16,CL 30A 79 12,-75.5994336235967,6.23217305556297,verde,1,3313,5475,60.51,20,472,564,0,0,0,1069,0,0,3313,0,0,0,0
