id_puesto,puesto,cod_comune,direccion,lon,lat,semaforo,rank_abelardo,votos_abelardo,total_validos,pct_abelardo,n_mesas,v_paloma_valencia,v_sergio_fajardo,v_miguel_uribe_londoño,v_gustavo_matamoros,v_roy_barrera,v_ivan_cepeda,v_santiago_botero,v_sondra_maconllis,v_abelardo_de_la_espriella,v_claudia_lopez,v_luis_gilberto_murillo,v_carlos_caicedo,v_oscar_mauricio_lizcano
p0738,IE AURES,07,CRA 96A No 77E-15,-75.5965264135842,6.29020770870989,verde,1.0,1429.0,3323.0,43.0,16.0,187.0,306.0,0.0,0.0,0.0,1330.0,0.0,0.0,1429.0,0.0,0.0,0.0,0.0
p0739,IE BARRIO OLAYA HERRERA,07,CRA 101C No 58-44,-75.6098868114957,6.27415392016368,amarillo,2.0,419.0,1151.0,36.4,8.0,82.0,106.0,0.0,0.0,0.0,505.0,0.0,0.0,419.0,0.0,0.0,0.0,0.0
p0740,IE BELLO ORIENTE,03,CRA 23B No 84B-27,-75.5380888046019,6.27697368609386,amarillo,2.0,378.0,1021.0,37.02,8.0,68.0,54.0,0.0,0.0,0.0,478.0,0.0,0.0,378.0,0.0,0.0,0.0,0.0
p0741,IE DIEGO ECHAVARRIA MISAS,05,CALLE 111 No 70 68,-75.5691390153103,6.30827724713486,verde,1.0,4615.0,7799.0,59.17,32.0,582.0,716.0,0.0,0.0,0.0,1783.0,0.0,0.0,4615.0,0.0,0.0,0.0,0.0
p0742,IE ESC NORMAL SUPERIOR DE MEDELLIN,08,CRA 34 No 65 - 02,-75.5487256699892,6.2540472460294,verde,1.0,882.0,1920.0,45.94,9.0,86.0,205.0,0.0,0.0,0.0,724.0,0.0,0.0,882.0,0.0,0.0,0.0,0.0
p0743,IE FE Y ALEGRIA EL LIMONAR,80,CL 55 SUR No 60 A-13 SAN ANTONIO DE PRADO,-75.6420677322165,6.17466597521106,verde,1.0,2302.0,5308.0,43.37,26.0,378.0,459.0,0.0,0.0,0.0,2031.0,0.0,0.0,2302.0,0.0,0.0,0.0,0.0
p0744,IE FE Y ALEGRIA LUIS AMIGO MORAVIA,04,CARRERA 58 No 84 40,-75.5664174750535,6.27912086657518,amarillo,2.0,603.0,1537.0,39.23,8.0,87.0,109.0,0.0,0.0,0.0,698.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0
p0745,IE FEDERICO OZANAM,09,CRA.36 No 45 - 08,-75.5584159114727,6.24048941697571,verde,1.0,4613.0,7679.0,60.07,34.0,641.0,667.0,0.0,0.0,0.0,1664.0,0.0,0.0,4613.0,0.0,0.0,0.0,0.0
p0746,IE FELIX DE BEDOUT MORENO,05,CLL 108 No 70-39,-75.5694177578519,6.30611590349176,verde,1.0,1654.0,3116.0,53.08,12.0,174.0,392.0,0.0,0.0,0.0,862.0,0.0,0.0,1654.0,0.0,0.0,0.0,0.0
p0747,IE FELIX HENAO BOTERO,08,CLL 52 No 23-51,-75.5466627764279,6.24091294655442,verde,1.0,2414.0,4942.0,48.85,24.0,398.0,409.0,0.0,0.0,0.0,1614.0,0.0,0.0,2414.0,0.0,0.0,0.0,0.0
p0748,IE GABRIEL GARCIA MARQUEZ,08,CRA 8A No. 57A - 93,-75.5334414025586,6.23665323672125,amarillo,2.0,300.0,759.0,39.53,4.0,37.0,53.0,0.0,0.0,0.0,348.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0
p0749,IE HECTOR ROGELIO MONTOYA,50,CLL 20 No 32-60,-75.688248605825,6.34336020428622,verde,1.0,914.0,1579.0,57.88,8.0,175.0,93.0,0.0,0.0,0.0,339.0,0.0,0.0,914.0,0.0,0.0,0.0,0.0
p0750,IE JESUS REY,07,CRA 88 No 77A-11,-75.5921685363698,6.28333392006294,verde,1.0,2263.0,4625.0,48.93,19.0,262.0,556.0,0.0,0.0,0.0,1498.0,0.0,0.0,2263.0,0.0,0.0,0.0,0.0
p0751,IE JOSE ROBERTO VASQUEZ,03,CLL 76 No 39-160,-75.5501290389965,6.26865596034991,amarillo,2.0,878.0,2194.0,40.02,11.0,94.0,268.0,0.0,0.0,0.0,915.0,0.0,0.0,878.0,0.0,0.0,0.0,0.0
p0752,IE LA AVANZADA,01,CRA 27 No 106BB-65,-75.5391284619583,6.29436880187274,amarillo,2.0,326.0,946.0,34.46,7.0,93.0,66.0,0.0,0.0,0.0,425.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0
p0753,IE LAS NIEVES,03,CLL 82 No 39 - 69,-75.5491439774032,6.27357067226893,verde,1.0,3479.0,7348.0,47.35,35.0,508.0,660.0,0.0,0.0,0.0,2495.0,0.0,0.0,3479.0,0.0,0.0,0.0,0.0
p0754,IE LOLA GONZALEZ,12,CLL 47F No 94-63,-75.6115481841428,6.25726558343568,verde,1.0,2376.0,4390.0,54.12,16.0,288.0,571.0,0.0,0.0,0.0,1110.0,0.0,0.0,2376.0,0.0,0.0,0.0,0.0
p0755,IE LOMA HERMOSA,60,CRA 123B No 53B-05,-75.6296731872888,6.27051991061553,verde,1.0,899.0,2025.0,44.4,9.0,191.0,179.0,0.0,0.0,0.0,699.0,0.0,0.0,899.0,0.0,0.0,0.0,0.0
p0756,IE LORENZA VILLEGAS DE SANTOS,04,CRA 51 No 87 - 40,-75.560930831415,6.28036726498752,verde,1.0,1200.0,2530.0,47.43,10.0,143.0,268.0,0.0,0.0,0.0,892.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0
p0757,IE LUSITANIA,60,CRA 109A No 63B-320,-75.6181552722993,6.27915442365875,verde,1.0,3009.0,7101.0,42.37,31.0,532.0,579.0,0.0,0.0,0.0,2803.0,0.0,0.0,3009.0,0.0,0.0,0.0,0.0
p0758,IE MADRE LAURA,09,CLL 45 No 22A - 81,-75.5508062451402,6.23531574500706,verde,1.0,1297.0,2599.0,49.9,11.0,169.0,307.0,0.0,0.0,0.0,795.0,0.0,0.0,1297.0,0.0,0.0,0.0,0.0
p0759,IE MARIA DE LOS ANGELES CANO MARQUEZ,01,CR 36B 102C 54,-75.5445017815333,6.2922813542767,verde,1.0,1862.0,4412.0,42.2,25.0,292.0,397.0,0.0,0.0,0.0,1710.0,0.0,0.0,1862.0,0.0,0.0,0.0,0.0
p0760,IE MERCEDITAS GOMEZ MARTINEZ,09,CL 45 # 18-03,-75.5467129711514,6.23371217333763,verde,1.0,3571.0,6906.0,51.71,29.0,532.0,661.0,0.0,0.0,0.0,2030.0,0.0,0.0,3571.0,0.0,0.0,0.0,0.0
p0761,IE MON GERARDO VALENCIA CANO,07,CL 65 # 74 B - 273,-75.5877162141305,6.26911660077704,verde,1.0,2027.0,3771.0,53.75,15.0,329.0,422.0,0.0,0.0,0.0,950.0,0.0,0.0,2027.0,0.0,0.0,0.0,0.0
p0762,IE MONSEÑOR VICTOR WIEDEMANN,80,DIAG 60E No. 41A SUR - 30,-75.6420972100068,6.18398125719504,verde,1.0,2168.0,4451.0,48.71,17.0,264.0,517.0,0.0,0.0,0.0,1431.0,0.0,0.0,2168.0,0.0,0.0,0.0,0.0
p0763,IE PEDRO OCTAVIO AMADO,16,CR 88A 18A 5,-75.6105420549098,6.22207649085063,verde,1.0,645.0,1248.0,51.68,6.0,68.0,98.0,0.0,0.0,0.0,409.0,0.0,0.0,645.0,0.0,0.0,0.0,0.0
p0764,"IE RODRIGO LARA BONILLA - SEDE LA
SUSANA",03,KR 41B # 66E-50,-75.5523536203906,6.26221079885131,verde,1.0,2272.0,4396.0,51.68,23.0,296.0,412.0,0.0,0.0,0.0,1336.0,0.0,0.0,2272.0,0.0,0.0,0.0,0.0
p0765,IE SAN ANTONIO DE PRADO,80,CRA 79 No. 42 SUR - 39,-75.6561799169431,6.18432268297667,verde,1.0,5822.0,10153.0,57.34,45.0,951.0,785.0,0.0,0.0,0.0,2341.0,0.0,0.0,5822.0,0.0,0.0,0.0,0.0
p0766,IE SAN CRISTOBAL,60,CRA 131 No 65-7,-75.6365748499903,6.28063201472805,verde,1.0,4084.0,7113.0,57.42,37.0,808.0,486.0,0.0,0.0,0.0,1573.0,0.0,0.0,4084.0,0.0,0.0,0.0,0.0
p0767,IE SAN JUAN BAUTISTA DE LA SALLE,03,CLL 93 No 40-42,-75.5493012091244,6.2844137821233,amarillo,2.0,1163.0,2865.0,40.59,14.0,180.0,295.0,0.0,0.0,0.0,1184.0,0.0,0.0,1163.0,0.0,0.0,0.0,0.0
